,Uber Type,Origin Region,Destination Region,Origin Latitude,Origin Longitude,Destination Latitude,Destination Longitude,Journey Distance(m),Departure Date,Departure Time,Travel Time(s),Arrival Time,Fare$
ID1203208458,0,8,5,-37.8158343,145.04645,-37.8132018,144.933495,11181.0,2018-02-25,08:01:03,3115.5599999999977,8:52:58,13.46
ID3155401845,1,9,6,38.1109156,144.6541725,-37.773845,144.9836895,48197.0,2018-05-25,20:34:46,11495.340000000007,23:46:21,60.54
ID3434428589,1,1,8,-37.8002494,144.9690304,-37.8158343,145.04645,7761.0,2018-05-03,16:25:24,2238.24,17:02:42,19.75
ID5577827105,2,2,4,-37.814753,144.9418394,-37.8031395,144.9956372,5552.0,2018-02-26,11:31:17,1476.9600000000003,11:55:53,147.88
ID1114326137,0,6,5,37.7907967,144.985865,-37.8132457,144.9334457,7330.0,2018-01-22,01:00:50,1995.2400000000007,1:34:05,15.49
ID3369230712,1,6,4,37.7874325,144.9803767,-37.8167945,145.0073797,5513.0,2018-06-25,06:51:15,1400.64,7:14:35,12.69
ID1357790679,0,7,1,37.8618349,144.905716,-37.8115403,144.9563485,8675.0,2018-03-08,12:37:22,2969.7599999999975,13:26:51,11.93
ID1372423868,0,7,9,37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-05-24,02:16:17,13173.359999999999,5:55:50,32.31
ID3762031348,1,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-06-03,02:51:37,12069.779999999999,6:12:46,70.39
ID3144765928,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-12,23:15:15,13173.359999999999,2:54:48,71.53
ID3146900919,1,5,2,-37.8029953,144.9281069,-37.8206516,144.9486218,2993.0,2018-07-28,21:16:56,725.9999999999998,21:29:02,21.98
ID3620072926,1,3,7,-37.8103472,144.9836492,-37.8618349,144.905716,9519.0,2018-01-18,22:06:56,3221.5200000000004,23:00:37,27.28
ID1722644190,0,4,5,-37.8132144,145.0141962,37.8051371,144.925914,8262.0,2018-02-20,21:09:41,2143.8000000000006,21:45:24,17.49
ID1675814135,0,8,3,-37.8158343,145.04645,-37.8243024,144.9694919,8105.0,2018-01-18,23:46:49,2323.799999999999,0:25:32,17.29
ID1161289994,0,8,9,-37.8158343,145.04645,38.1109156,144.6541725,51032.0,2018-06-02,00:07:12,12681.059999999998,3:38:33,34.33
ID3733326092,1,8,5,-37.8158343,145.04645,37.8066622,144.9320495,10401.0,2018-07-23,02:55:34,2939.699999999998,3:44:33,25.59
ID3973902691,1,2,3,-37.8133004,144.9368938,-37.8107591,144.9773584,4158.0,2018-05-04,21:29:14,1056.8999999999999,21:46:50,17.23
ID5205948813,2,1,7,-37.81357,144.9410259,-37.8618349,144.905716,10026.0,2018-04-16,07:30:28,3300.1800000000003,8:25:28,318.35
ID5925827770,2,8,4,-37.807202,145.0266373,-37.8025074,145.0050736,2702.0,2018-06-02,21:18:04,720.12,21:30:04,103.44
ID1386906719,0,9,8,-38.1109156,144.6541725,-37.807202,145.0266373,49777.0,2018-02-22,05:58:39,12099.660000000003,9:20:18,31.08
ID1434990986,0,4,9,-37.8166864,145.0134205,38.1109156,144.6541725,48140.0,2018-02-21,09:19:48,11571.42,12:32:39,22.66
ID3955266192,1,5,2,-37.8054305,144.9296897,-37.8142217,144.9370471,2120.0,2018-07-15,03:49:19,513.3,3:57:52,18.47
ID1671236083,0,9,4,-38.1109156,144.6541725,-37.7991193,145.0015646,48238.0,2018-06-28,17:47:25,11710.800000000001,21:02:35,24.16
ID1545178142,0,2,4,-37.8097865,144.9318465,-37.8033282,144.994517,6360.0,2018-03-18,23:23:20,1616.9999999999998,23:50:17,20.95
ID1524466367,0,1,2,-37.8067765,144.9628773,-37.817062,144.9317439,3403.0,2018-06-05,06:14:38,855.7199999999999,6:28:53,4.93
ID3211950761,1,4,3,-37.8162029,145.0102235,-37.8140962,144.9713425,3753.0,2018-03-11,06:08:00,945.2400000000006,6:23:45,13.21
ID1870748209,0,3,4,-37.8134053,144.9736092,-37.8047948,144.9902454,2329.0,2018-02-27,20:20:16,588.2399999999999,20:30:04,8.92
ID5675182791,2,8,1,-37.807202,145.0266373,37.8003413,144.9502061,7379.0,2018-02-16,09:55:17,1934.5800000000004,10:27:31,190.71
ID3881457399,1,4,2,-37.7999571,145.0184074,-37.8249296,144.9325794,9415.0,2018-04-28,01:44:45,2529.9000000000015,2:26:54,28.38
ID3919095435,1,5,9,-37.818711,144.9167989,-38.1109156,144.6541725,44680.0,2018-06-06,08:51:43,10817.939999999999,11:52:00,52.67
ID3372840985,1,7,1,-37.8618349,144.905716,-37.8092583,144.9523112,9159.0,2018-07-26,20:41:16,3107.7599999999975,21:33:03,22.99
ID3465737021,1,6,3,-37.7738026,144.9836466,-37.8233178,145.0092362,11385.0,2018-07-07,04:29:05,3322.1,5:24:55,31.97
ID1152320164,0,7,2,-37.8618349,144.905716,-37.8219709,144.9507234,8585.0,2018-01-03,15:45:26,2942.639999999999,16:34:28,13.74
ID1982404717,0,9,3,-38.1109156,144.6541725,-37.8110053,144.9901675,45995.0,2018-05-19,03:09:30,10992.42,6:12:42,32.08
ID3487045553,1,8,5,-37.8158343,145.04645,-37.8054411,144.9333019,10401.0,2018-07-01,19:49:24,2972.7199999999984,20:38:39,26.89
ID1998285827,0,3,1,-37.8199694,144.985119,-37.8107806,144.9529208,3811.0,2018-01-25,03:39:58,963.2,3:55:53,12.9
ID1988357545,0,5,2,-37.8047461,144.9285066,-37.8132931,144.937181,1872.0,2018-07-21,16:14:03,427.0800000000001,16:21:10,13.18
ID3660062595,1,9,6,-38.1109156,144.6541725,-37.7907967,144.985865,47193.0,2018-02-23,13:45:50,11509.780000000008,16:58:05,61.57
ID1732215302,0,9,5,-38.1109156,144.6541725,-37.8054411,144.9333019,43702.0,2018-01-06,00:51:03,10483.92,3:45:46,33.48
ID1132782079,0,9,4,-38.1109156,144.6541725,-37.8005249,144.9908738,46762.0,2018-01-27,13:30:20,11284.68000000001,16:38:24,30.25
ID1742577874,0,4,1,-37.8108106,145.0029727,-37.800315,144.9500191,5035.0,2018-06-11,07:21:01,1197.44,7:40:56,5.87
ID5629332131,2,9,1,-38.1109156,144.6541725,-37.8180323,144.9668595,43736.0,2018-03-07,16:03:42,10525.500000000004,18:59:07,996.27
ID1738353717,0,2,4,-37.816221,144.9337563,-37.7994993,144.9896132,5973.0,2018-01-08,06:14:21,1523.76,6:39:44,8.54
ID3262330822,1,8,3,-37.807202,145.0266373,-37.8205622,144.9767228,6067.0,2018-07-09,02:47:12,1489.9000000000003,3:12:06,21.09
ID3479947360,1,9,7,-38.1109156,144.6541725,-37.8618349,144.905716,50797.0,2018-04-12,19:25:12,13240.979999999994,23:05:16,69.23
ID5176337576,2,4,5,-37.8069141,144.998466,-37.7996552,144.9371242,7420.0,2018-01-25,03:33:50,1999.2199999999998,4:06:46,213.71
ID1846024150,0,7,1,-37.8618349,144.905716,-37.8087101,144.948722,9666.0,2018-01-21,00:55:51,3259.739999999997,1:50:10,21.97
ID5947047581,2,4,8,-37.8048737,145.0036689,-37.807202,145.0266373,3106.0,2018-07-13,01:19:43,841.02,1:33:50,107.26
ID1363097576,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-03-24,03:50:40,4917.479999999999,5:12:37,24.38
ID5215155656,2,3,1,-37.8188263,144.9843814,-37.8204853,144.9496384,3382.0,2018-07-11,15:29:31,804.3600000000004,15:42:55,93.78
ID1731838051,0,8,6,-37.8158343,145.04645,-37.7907967,144.985865,7470.0,2018-02-02,21:42:07,2302.3800000000006,22:20:29,15.55
ID3472236146,1,1,6,-37.8052711,144.97619,-37.7874421,144.9804091,2103.0,2018-02-07,05:13:05,539.1,5:22:04,15.62
ID3275830277,1,7,3,-37.8618349,144.905716,-37.8212208,144.9839138,8993.0,2018-03-16,18:04:14,2963.039999999999,18:53:37,23.49
ID5155400799,2,5,2,-37.7997268,144.9254944,-37.8119497,144.9386294,2210.0,2018-03-24,04:13:52,515.22,4:22:27,83.39
ID3253889056,1,1,7,-37.8080709,144.9519654,-37.8618349,144.905716,9301.0,2018-03-20,08:59:59,3155.9399999999996,9:52:34,20.22
ID1423074358,0,6,8,-37.7907967,144.985865,-37.807202,145.0266373,4834.0,2018-04-07,04:08:37,1358.6400000000003,4:31:15,20.41
ID5919727650,2,8,5,-37.807202,145.0266373,-37.8058557,144.9280957,9495.0,2018-02-26,01:34:24,2468.939999999999,2:15:32,258.14
ID1698055304,0,2,1,-37.8134636,144.9411155,-37.7996368,144.9509081,2081.0,2018-04-27,15:23:47,533.6599999999999,15:32:20,9.79
ID3392589827,1,2,8,-37.8221078,144.932693,-37.8158343,145.04645,10840.0,2018-06-03,08:39:19,3060.7800000000007,9:30:19,23.98
ID5824100528,2,2,8,-37.8108598,144.9384397,-37.807202,145.0266373,8695.0,2018-02-27,08:41:40,2212.86,9:18:32,216.98
ID3282051633,1,4,7,-37.799478,145.014113,-37.8618349,144.905716,13443.0,2018-06-10,02:48:59,4244.940000000001,3:59:43,36.17
ID1731653890,0,4,9,-37.8158563,145.0132322,-38.1109156,144.6541725,48261.0,2018-07-06,21:38:10,11601.48,1:05:25,28.92
ID1977017519,0,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-07-08,05:15:00,4917.479999999999,6:36:57,25.07
ID1812128101,0,7,1,-37.8618349,144.905716,-37.803923,144.9486942,9883.0,2018-06-02,04:23:57,3272.579999999997,5:18:29,20.91
ID1217484154,0,8,3,-37.8158343,145.04645,-37.8189252,144.9957258,5245.0,2018-06-19,21:25:46,1615.3200000000002,21:52:41,14.77
ID1112986963,0,6,1,-37.7907967,144.985865,-37.818595,144.969551,4102.0,2018-06-19,09:10:25,1155.6000000000004,9:29:40,4.8
ID1709114550,0,1,3,-37.8133627,144.9416517,-37.8187507,144.9960643,5509.0,2018-07-04,22:36:29,1371.24,2:08:50,15.57
ID3299800661,1,4,3,-37.8110224,145.0051534,-37.8217211,144.9865224,2570.0,2018-05-03,12:21:47,627.7799999999999,12:32:14,12.99
ID5442102228,2,1,2,-37.8107183,144.9680741,-37.8162997,144.9372462,3136.0,2018-05-27,03:48:11,826.4399999999999,4:01:57,111.38
ID3479686504,1,5,4,-37.7949801,144.9309314,-37.8105704,145.0006616,7248.0,2018-03-05,05:46:06,1788.4199999999998,6:15:54,19.99
ID3400973399,1,6,8,-37.7874325,144.9803767,-37.8158343,145.04645,8361.0,2018-04-10,16:46:11,2438.22,17:26:49,18.82
ID1728629989,0,3,2,-37.8124411,145.0033831,-37.8160065,144.938349,6375.0,2018-06-17,00:02:42,1611.2400000000011,0:29:33,18.45
ID3306251660,1,8,7,-37.8158343,145.04645,-37.8618349,144.905716,15151.0,2018-01-05,12:30:05,4917.479999999999,13:52:02,29.92
ID1805445983,0,1,7,-37.8048808,144.9705639,-37.8618349,144.905716,9854.0,2018-07-02,11:53:06,3264.7200000000003,12:47:30,9.65
ID3503952170,1,3,4,-37.821958,144.9938499,-37.8114574,144.999985,1588.0,2018-03-13,21:41:03,377.5200000000001,23:29:40,15.66
ID3971400999,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-05-05,04:44:53,12681.060000000005,8:16:14,74.26
ID1994331212,0,8,1,-37.8158343,145.04645,-37.8043557,144.961707,7715.0,2018-02-28,09:10:46,2251.1399999999994,9:48:17,7.22
ID1871230821,0,4,7,-37.8099791,144.9952351,-37.8618349,144.905716,10617.0,2018-07-04,01:05:12,3514.26,7:31:31,18.12
ID5633387900,2,4,1,-37.8104827,145.0089843,-37.8139299,144.9603733,4691.0,2018-05-06,23:04:20,1133.8200000000002,23:23:13,141.63
ID1370588821,0,4,6,-37.8105799,145.0007616,-37.7874325,144.9803767,4326.0,2018-07-03,12:39:12,1103.1000000000004,15:01:55,9.89
ID1930960935,0,2,8,-37.8262757,144.9381384,-37.8158343,145.04645,10997.0,2018-04-24,15:45:56,3143.1600000000008,18:43:04,13.71
ID3386608408,1,9,8,-38.1109156,144.6541725,-37.8158343,145.04645,51032.0,2018-04-06,19:17:12,12681.060000000005,22:48:33,64.53
ID1378076832,0,7,6,-37.8618349,144.905716,-37.7738026,144.9836466,16033.0,2018-05-14,01:14:25,5320.6799999999985,4:47:14,21.15
ID3436281538,1,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-02-19,14:03:23,13173.359999999999,16:11:54,67.47
ID5277009311,2,2,8,-37.8218553,144.9359347,-37.8158343,145.04645,10620.0,2018-06-16,10:48:27,3043.4400000000005,11:39:10,303.04
ID1630451754,0,2,8,-37.8217376,144.9367746,-37.807202,145.0266373,9377.0,2018-07-03,06:50:34,2382.6000000000004,7:30:16,7.73
ID1779495636,0,5,2,-37.8129112,144.933698,-37.8149648,144.9275663,1877.0,2018-07-28,08:24:12,473.3400000000005,14:32:01,9.52
ID1154602322,0,8,4,-37.8158343,145.04645,-37.8124304,145.0158665,5534.0,2018-03-20,15:35:23,1662.1199999999997,21:47:51,11.26
ID1647317441,0,2,5,-37.8141226,144.9444126,-37.8154311,144.928168,2465.0,2018-07-25,19:49:07,599.8800000000003,19:59:06,9.85
ID3290074973,1,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-02-17,04:15:07,12069.779999999999,7:36:16,72.87
ID3970845802,1,3,8,-37.8210425,144.9768222,-37.8158343,145.04645,7242.0,2018-07-08,03:20:39,2119.0200000000004,3:55:58,28.58
ID1884480005,0,6,5,-37.7738026,144.9836466,-37.8024197,144.934978,10390.0,2018-03-24,18:50:26,3110.880000000001,19:42:16,17.02
ID3728014449,1,9,3,-38.1109156,144.6541725,-37.8117628,144.985371,45570.0,2018-01-09,23:31:33,10891.320000000003,2:33:04,60.01
ID1574817953,2,8,2,-37.8158343,145.04645,-37.8183743,144.9486428,9190.0,2018-02-24,12:31:32,2552.520000000001,13:14:04,16.47
ID1183918810,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-04-17,00:51:45,13173.359999999999,4:31:18,31.67
ID5491127647,1,2,6,-37.8132503,144.9397692,-37.7907967,144.985865,5850.0,2018-03-10,21:31:45,1591.44,21:58:16,183.75
ID1488999788,3,6,3,-37.7874421,144.9804091,-37.8085917,144.9814096,2693.0,2018-06-24,12:29:41,644.64,12:40:25,12.58
ID3997100801,1,9,4,-38.1109156,144.6541725,-37.8115917,145.0034761,47164.0,2018-04-09,21:32:22,11297.64,0:40:39,63.33
ID3785595792,3,5,7,-37.8053403,144.9370329,-37.8618349,144.905716,10693.0,2018-05-17,16:05:19,3475.5000000000005,17:03:14,23.99
ID3265370921,1,4,7,-37.8110185,145.000558,-37.8618349,144.905716,11050.0,2018-06-02,08:45:04,3589.0800000000004,9:44:53,26.8
ID3503478698,1,5,6,-37.8024029,144.9269069,-37.7738026,144.9836466,10262.0,2018-03-28,17:13:16,3152.1000000000004,18:05:48,23.55
ID1885790830,3,8,2,-37.807202,145.0266373,-37.8209811,144.9473457,8179.0,2018-06-21,23:46:37,1930.8000000000002,0:18:47,17.23
ID3910192177,1,9,3,-38.1109156,144.6541725,-37.8189277,144.998659,46704.0,2018-04-12,19:17:12,11335.07999999999,22:26:07,60.67
ID1774880822,0,1,6,-37.800419,144.9550729,-37.7874421,144.9804091,3738.0,2018-06-23,03:41:11,947.0400000000002,3:56:58,19.14
ID5546100005,2,4,2,-37.801275,145.0036219,-37.8243866,144.9437285,6856.0,2018-07-14,02:54:17,1820.2800000000013,3:24:37,204.09
ID3916657736,3,1,9,-37.8185184,144.9670945,-38.1109156,144.6541725,43732.0,2018-03-13,17:34:37,10536.84,20:30:13,55.48
ID3149241562,1,8,5,-37.8158343,145.04645,-37.802308,144.9301719,10663.0,2018-07-25,16:31:18,3006.779999999998,17:21:24,23.7
ID5218289538,2,5,1,-37.8043941,144.9292452,-37.8124096,144.9536109,2796.0,2018-06-28,22:20:23,725.1000000000001,22:32:28,95.24
ID3315843476,1,7,8,-37.8618349,144.905716,-37.8158343,145.04645,15151.0,2018-05-05,18:48:01,4911.599999999998,20:09:52,35.14
ID1928108357,3,2,1,-37.8148044,144.9358843,-37.8054636,144.9333753,1948.0,2018-06-21,06:54:06,478.97999999999985,7:02:04,3.5
ID1500690897,0,1,3,-37.8203862,144.9534083,-37.8246285,144.9888834,3487.0,2018-01-07,17:05:06,848.7600000000001,17:19:14,13.74
ID5385296663,2,1,7,-37.8048559,144.9587708,-37.8618349,144.905716,9149.0,2018-07-13,07:08:00,3065.4,7:59:05,296.2
ID1760052621,1,6,2,-37.7738026,144.9836466,-37.8238015,144.9475135,10156.0,2018-02-21,07:27:06,3106.799999999998,8:18:52,8.87
ID3272120376,1,1,3,-37.8154266,144.9495921,-37.8090664,144.983856,3923.0,2018-07-07,01:18:30,1060.1400000000003,1:36:10,23.39
ID1263136611,0,8,9,-37.807202,145.0266373,-38.1109156,144.6541725,49777.0,2018-04-11,3:45:39,12069.779999999999,00:24:30,29.48
ID1724878498,0,6,8,-37.7907967,144.985865,-37.8158343,145.04645,7470.0,2018-07-18,11:19:18,2302.38,11:57:40,8.26
ID3310769761,1,3,5,-37.8197515,144.9697679,-37.815102,144.9230496,5501.0,2018-05-17,16:24:37,1442.9999999999998,16:48:40,13.94
ID1174200271,0,2,5,-37.8151896,144.9363179,-37.8066559,144.9327335,1744.0,2018-04-10,22:47:51,418.55999999999995,22:54:49,13.05
ID3379754810,1,7,5,-37.8618349,144.905716,-37.8065033,144.9322127,11004.0,2018-04-18,11:28:18,3518.099999999999,10:29:40,21.4
ID3806939690,1,8,6,-37.807202,145.0266373,-37.7874325,144.9803767,5793.0,2018-02-21,20:39:58,1493.5200000000002,21:04:51,15.51
ID1278839086,0,2,3,-37.8223746,144.947751,-37.8211609,144.9672094,2050.0,2018-05-06,2:41:53,533.5799999999999,02:33:00,19.23
ID1538850782,0,7,9,-37.8618349,144.905716,-38.1109156,144.6541725,50797.0,2018-07-20,18:14:14,13173.359999999999,21:53:47,28.59
ID3676420310,1,1,5,-37.8115487,144.9361249,-37.8097865,144.9318465,617.0,2018-02-15,3:36:13,146.09999999999997,03:33:47,14.88
ID3511826144,1,3,4,-37.8177037,144.9731096,-37.8013482,144.9943654,3426.0,2018-03-09,03:06:41,922.4999999999999,3:22:03,18.17
ID3896595925,1,8,2,-37.8158343,145.04645,-37.8230927,144.9379385,10360.0,2018-06-10,15:58:05,2958.659999999999,16:47:23,27.27
ID1658745528,0,2,4,-37.8156809,144.9352941,-37.802362,144.9915361,6056.0,2018-05-24,19:01:28,1532.7,19:27:00,9.7
ID3746951306,1,7,1,-37.8618349,144.905716,-37.818304,144.9524117,9659.0,2018-01-25,12:21:30,3245.8199999999993,11:27:25,18.93
ID3267342245,1,1,7,-37.822463,144.9544537,-37.8618349,144.905716,8315.0,2018-01-11,21:16:00,2860.62,20:28:20,21.61
ID3445595915,1,2,5,-37.8140839,144.9361177,-37.7988358,144.9358923,3171.0,2018-05-08,22:40:42,773.7600000000001,22:27:49,18.59
ID3426744682,1,1,5,-37.8000075,144.9371309,-37.8153797,144.9225106,3800.0,2018-04-10,23:48:55,1060.14,0:06:35,17.54
ID5506875154,2,6,9,-37.7874325,144.9803767,-38.1109156,144.6541725,47033.0,2018-02-04,18:08:50,11350.5,21:18:00,1079.14
ID3709132003,1,2,9,-37.8225249,144.9353059,-38.1109156,144.6541725,43297.0,2018-07-01,6:20:46,10428.48,03:26:58,64.83
ID1548746289,0,1,4,-37.8187823,144.9535721,-37.7990452,144.9880333,4560.0,2018-04-03,17:14:34,1130.9399999999991,17:33:24,10.18
ID1524557878,0,9,3,-38.1109156,144.6541725,-37.8240695,144.9852628,45620.0,2018-01-01,23:58:09,11026.859999999997,3:01:55,27.97
ID3797061841,1,3,7,-37.8203203,144.9808828,-37.8618349,144.905716,8855.0,2018-01-24,2:59:08,2992.32,02:09:16,23.6
ID1928183325,0,6,7,-37.7907967,144.985865,-37.8618349,144.905716,11711.0,2018-03-01,14:53:38,3866.9400000000014,13:49:12,15.22
ID3160887653,1,5,4,-37.8074307,144.9340125,-37.8039021,145.0039682,7022.0,2018-01-11,13:27:40,1787.2800000000002,13:57:27,15.83
ID1589268028,0,2,5,-37.8125335,144.9376384,-37.8149881,144.9275015,2381.0,2018-01-16,11:19:58,603.6000000000009,11:30:01,6.33
ID1295686852,0,7,4,-37.8618349,144.905716,-37.8097067,144.9930454,10442.0,2018-06-23,01:36:11,3463.1999999999985,2:33:54,20.34
ID3412796589,1,9,5,-38.1109156,144.6541725,-37.8120228,144.9262547,43851.0,2018-04-08,19:40:09,10517.759999999995,22:35:26,61.09
ID1349014107,0,7,5,-37.8618349,144.905716,-37.8019292,144.9367901,11471.0,2018-07-21,07:54:35,3755.579999999999,8:57:10,16.32
ID3546031242,1,5,3,-37.804736,144.9238514,-37.8106267,144.9862685,5847.0,2018-02-10,08:14:26,1457.8199999999993,8:38:43,15.91
ID3455144882,1,1,9,-37.8181022,144.9485729,-38.1109156,144.6541725,41884.0,2018-15-02,01:07:18,10057.38,3:54:55,59.51
ID1687447551,0,1,7,-37.7995235,144.9536916,-37.8618349,144.905716,10043.0,2018-01-20,02:58:12,3324.0000000000005,3:53:36,22.84
